ap09g_No_selecciona;¿Con quién o quiénes vivís? Hermana(s) o hermano(s) menor(es) - No selecciona
ap09g_Selecciona;¿Con quién o quiénes vivís? Hermana(s) o hermano(s) menor(es) - Selecciona
ap09h_Blanco;¿Con quién o quiénes vivís? Hermana(s) o hermano(s) mayor(es) - Blanco
ap09h_No_disponible;¿Con quién o quiénes vivís? Hermana(s) o hermano(s) mayor(es) - No disponible
ap09h_No_selecciona;¿Con quién o quiénes vivís? Hermana(s) o hermano(s) mayor(es) - No selecciona
ap09h_Selecciona;¿Con quién o quiénes vivís? Hermana(s) o hermano(s) mayor(es) - Selecciona
ap09i_Blanco;¿Con quién o quiénes vivís? Tía(s) o tío(s) - Blanco
ap09i_No_disponible;¿Con quién o quiénes vivís? Tía(s) o tío(s) - No disponible
ap09i_No_selecciona;¿Con quién o quiénes vivís? Tía(s) o tío(s) - No selecciona
ap09i_Selecciona;¿Con quién o quiénes vivís? Tía(s) o tío(s) - Selecciona
ap09j_Blanco;¿Con quién o quiénes vivís? Abuela(s) o abuelo(s) - Blanco
ap09j_No_disponible;¿Con quién o quiénes vivís? Abuela(s) o abuelo(s) - No disponible
ap09j_No_selecciona;¿Con quién o quiénes vivís? Abuela(s) o abuelo(s) - No selecciona
ap09j_Selecciona;¿Con quién o quiénes vivís? Abuela(s) o abuelo(s) - Selecciona
ap09k_Blanco;¿Con quién o quiénes vivís? Novia o novio - Blanco
ap09k_No_disponible;¿Con quién o quiénes vivís? Novia o novio - No disponible
ap09k_No_selecciona;¿Con quién o quiénes vivís? Novia o novio - No selecciona
ap09k_Selecciona;¿Con quién o quiénes vivís? Novia o novio - Selecciona
ap09l_Blanco;¿Con quién o quiénes vivís? Amistades - Blanco
ap09l_No_disponible;¿Con quién o quiénes vivís? Amistades - No disponible
ap09l_No_selecciona;¿Con quién o quiénes vivís? Amistades - No selecciona
ap09l_Selecciona;¿Con quién o quiénes vivís? Amistades - Selecciona
ap09m_Blanco;¿Con quién o quiénes vivís? Otras personas - Blanco
ap09m_No_disponible;¿Con quién o quiénes vivís? Otras personas - No disponible
ap09m_No_selecciona;¿Con quién o quiénes vivís? Otras personas - No selecciona
ap09m_Selecciona;¿Con quién o quiénes vivís? Otras personas - Selecciona
ap10_Blanco;¿Tenés hija(s) o hijo(s)? - Blanco
ap10_No_disponible;¿Tenés hija(s) o hijo(s)? - No disponible
ap10_Multimarca;¿Tenés hija(s) o hijo(s)? - Multimarca
ap10_Sí;¿Tenés hija(s) o hijo(s)? - Sí
ap10_No;¿Tenés hija(s) o hijo(s)? - No
ap11_Blanco;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - Blanco
ap11_No_disponible;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - No disponible
ap11_Multimarca;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - Multimarca
ap11_1;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - 1
ap11_2;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - 2
ap11_3;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - 3
ap11_4;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - 4
ap11_5;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - 5
ap11_6;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - 6
ap11_7;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - 7
ap11_8;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - 8
ap11_9;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - 9
ap11_10_ó_más;En total, ¿cuántas habitaciones o espacios para dormir hay en el lugar donde vivís, sin contar baño y cocina? - 10 ó más
